status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Column1,Column2,Column3,Column4,engagement_score,engagement_level,hour,dayofweek
143,photo,2017-09-23 03:56:00,251,17,0,244,7,0,0,0,0,,,,,285,high,3,5
144,video,2017-09-23 00:09:00,244,589,48,213,29,1,1,0,0,,,,,1566,high,0,5
145,video,2017-09-22 08:48:00,252,558,41,204,45,1,1,0,1,,,,,1491,high,8,4
146,video,2017-09-21 08:22:00,121,15,4,114,4,2,1,0,0,,,,,163,medium,8,3
147,photo,2017-09-21 01:50:00,321,5,0,307,11,2,1,0,0,,,,,331,high,1,3
148,photo,2017-09-21 00:26:00,103,8,3,99,4,0,0,0,0,,,,,128,medium,0,3
149,video,2017-09-20 23:43:00,136,31,16,122,14,0,0,0,0,,,,,246,medium,23,2
150,video,2017-09-20 21:25:00,337,247,27,300,35,1,1,0,0,,,,,912,high,21,2
151,photo,2017-09-20 09:47:00,648,13,0,627,18,3,0,0,0,,,,,674,high,9,2
152,video,2017-09-20 00:19:00,175,157,14,157,18,0,0,0,0,,,,,531,high,0,2
153,video,2017-09-19 07:39:00,339,424,36,296,38,1,4,0,0,,,,,1295,high,7,1
154,photo,2017-09-19 06:44:00,341,3,0,331,8,2,0,0,0,,,,,347,high,6,1
155,video,2017-09-19 00:40:00,177,131,27,150,27,0,0,0,0,,,,,520,high,0,1
156,photo,2017-09-13 03:48:00,201,0,0,195,4,2,0,0,0,,,,,201,medium,3,2
157,photo,2017-09-12 22:34:00,43,7,0,41,2,0,0,0,0,,,,,57,medium,22,1
158,photo,2017-09-11 06:14:00,40,7,0,39,1,0,0,0,0,,,,,54,medium,6,0
159,photo,2017-09-07 22:52:00,58,14,0,57,1,0,0,0,0,,,,,86,medium,22,3
160,video,2017-09-07 04:21:00,403,525,42,363,36,1,3,0,0,,,,,1579,high,4,3
161,photo,2017-09-07 02:02:00,148,4,3,144,4,0,0,0,0,,,,,165,medium,2,3
162,photo,2017-09-06 23:14:00,150,24,2,144,6,0,0,0,0,,,,,204,medium,23,2
163,photo,2017-09-06 07:33:00,53,12,0,53,0,0,0,0,0,,,,,77,medium,7,2
164,status,2017-09-06 06:22:00,144,15,8,140,4,0,0,0,0,,,,,198,medium,6,2
165,video,2017-09-06 03:48:00,298,491,46,262,34,2,0,0,0,,,,,1418,high,3,2
166,photo,2017-09-06 02:02:00,171,4,1,166,5,0,0,0,0,,,,,182,medium,2,2
167,photo,2017-09-03 05:39:00,4410,633,257,4315,73,17,5,0,0,,,,,6447,high,5,6
168,video,2017-08-31 08:50:00,374,588,46,327,47,0,0,0,0,,,,,1688,high,8,3
169,photo,2017-08-30 08:38:00,181,20,0,180,1,0,0,0,0,,,,,221,medium,8,2
170,photo,2017-08-27 09:46:00,267,20,1,249,8,10,0,0,0,,,,,310,high,9,6
171,photo,2017-08-27 04:54:00,60,7,0,59,1,0,0,0,0,,,,,74,medium,4,6
172,photo,2017-08-25 07:36:00,98,23,5,95,2,1,0,0,0,,,,,159,medium,7,4
173,video,2017-08-25 02:29:00,26,7,0,26,0,0,0,0,0,,,,,40,medium,2,4
174,photo,2017-08-24 02:18:00,255,18,0,244,11,0,0,0,0,,,,,291,high,2,3
175,photo,2017-08-23 06:15:00,174,6,1,167,5,2,0,0,0,,,,,189,medium,6,2
176,photo,2017-08-22 10:59:00,64,5,1,59,5,0,0,0,0,,,,,77,medium,10,1
177,photo,2017-08-22 10:32:00,62,3,0,58,4,0,0,0,0,,,,,68,medium,10,1
178,video,2017-08-22 01:40:00,192,417,40,168,22,1,1,0,0,,,,,1146,high,1,1
179,photo,2017-08-22 00:09:00,110,18,6,110,0,0,0,0,0,,,,,164,medium,0,1
180,photo,2017-08-22 00:08:00,119,12,7,117,2,0,0,0,0,,,,,164,medium,0,1
181,photo,2017-08-20 04:41:00,42,11,0,41,0,1,0,0,0,,,,,64,medium,4,6
182,video,2017-08-19 23:14:00,234,355,34,178,52,2,0,1,1,,,,,1046,high,23,5
183,photo,2017-08-18 11:35:00,54,10,0,53,1,0,0,0,0,,,,,74,medium,11,4
184,photo,2017-08-18 11:33:00,82,8,0,80,1,0,0,1,0,,,,,98,medium,11,4
185,photo,2017-08-18 08:36:00,18,8,0,18,0,0,0,0,0,,,,,34,medium,8,4
186,photo,2017-08-15 09:58:00,147,17,7,141,5,1,0,0,0,,,,,202,medium,9,1
187,photo,2017-08-15 09:31:00,80,8,0,79,1,0,0,0,0,,,,,96,medium,9,1
188,video,2017-08-14 07:41:00,299,564,42,262,34,1,1,0,1,,,,,1553,high,7,0
189,photo,2017-08-12 02:40:00,629,11,1,607,18,4,0,0,0,,,,,654,high,2,5
190,photo,2017-08-11 20:41:00,69,2,0,67,2,0,0,0,0,,,,,73,medium,20,4
191,video,2017-08-11 00:27:00,219,110,17,190,26,1,2,0,0,,,,,490,high,0,4
192,photo,2017-08-10 23:39:00,30,2,0,27,3,0,0,0,0,,,,,34,medium,23,3
193,photo,2017-08-10 09:17:00,65,1,0,62,2,1,0,0,0,,,,,67,medium,9,3
194,photo,2017-08-10 03:03:00,161,7,0,153,8,0,0,0,0,,,,,175,medium,3,3
195,video,2017-08-10 01:24:00,398,605,30,348,44,3,3,0,0,,,,,1698,high,1,3
196,photo,2017-08-09 05:14:00,47,7,0,47,0,0,0,0,0,,,,,61,medium,5,2
197,photo,2017-08-09 01:45:00,182,3,4,177,5,0,0,0,0,,,,,200,medium,1,2
198,video,2017-08-08 22:24:00,317,158,32,269,47,1,0,0,0,,,,,729,high,22,1
199,video,2017-08-08 05:13:00,571,888,107,459,107,1,1,1,2,,,,,2668,high,5,1
200,photo,2017-08-07 09:18:00,16,10,0,15,1,0,0,0,0,,,,,36,medium,9,0
201,photo,2017-08-06 01:08:00,30,9,0,30,0,0,0,0,0,,,,,48,medium,1,6
202,photo,2017-08-06 00:36:00,57,7,0,57,0,0,0,0,0,,,,,71,medium,0,6
203,photo,2017-08-05 01:44:00,74,6,3,74,0,0,0,0,0,,,,,95,medium,1,5
204,video,2017-08-03 04:50:00,368,911,50,317,50,1,0,0,0,,,,,2340,high,4,3
205,photo,2017-08-03 04:31:00,19,3,0,19,0,0,0,0,0,,,,,25,low,4,3
206,photo,2017-08-02 22:18:00,176,3,0,175,0,1,0,0,0,,,,,182,medium,22,2
207,photo,2017-08-02 06:02:00,133,7,0,133,0,0,0,0,0,,,,,147,medium,6,2
208,photo,2017-08-02 02:54:00,162,6,2,158,3,1,0,0,0,,,,,180,medium,2,2
209,video,2017-08-01 23:33:00,734,996,73,601,116,11,6,0,0,,,,,2945,high,23,1
210,status,2017-08-01 00:57:00,42,16,9,41,1,0,0,0,0,,,,,101,medium,0,1
211,status,2017-07-31 09:50:00,33,6,3,31,2,0,0,0,0,,,,,54,medium,9,0
212,video,2017-07-28 01:10:00,29,6,1,29,0,0,0,0,0,,,,,44,medium,1,4
213,photo,2017-07-27 22:48:00,43,6,0,42,1,0,0,0,0,,,,,55,medium,22,3
214,photo,2017-07-27 08:08:00,14,6,0,13,1,0,0,0,0,,,,,26,low,8,3
215,video,2017-07-26 09:01:00,475,574,48,406,63,4,2,0,0,,,,,1767,high,9,2
216,photo,2017-07-25 23:18:00,50,8,2,49,1,0,0,0,0,,,,,72,medium,23,1
217,photo,2017-07-25 22:46:00,94,23,6,94,0,0,0,0,0,,,,,158,medium,22,1
218,video,2017-07-22 08:50:00,303,34,3,291,11,1,0,0,0,,,,,380,high,8,5
219,photo,2017-07-22 07:08:00,168,7,1,167,1,0,0,0,0,,,,,185,medium,7,5
220,photo,2017-07-21 23:32:00,248,14,0,241,7,0,0,0,0,,,,,276,high,23,4
221,photo,2017-07-21 08:52:00,422,6,0,410,8,3,1,0,0,,,,,434,high,8,4
222,photo,2017-07-21 04:20:00,189,3,0,184,2,0,3,0,0,,,,,195,medium,4,4
223,photo,2017-07-21 02:59:00,390,17,2,382,5,3,0,0,0,,,,,430,high,2,4
224,photo,2017-07-20 23:30:00,618,28,0,597,14,7,0,0,0,,,,,674,high,23,3
225,photo,2017-07-20 08:59:00,191,2,2,188,2,1,0,0,0,,,,,201,medium,8,3
226,video,2017-07-18 07:53:00,321,1381,67,275,44,1,1,0,0,,,,,3284,high,7,1
227,photo,2017-07-16 02:18:00,364,7,2,347,15,2,0,0,0,,,,,384,high,2,6
228,photo,2017-07-13 00:11:00,51,10,0,51,0,0,0,0,0,,,,,71,medium,0,3
229,video,2017-07-12 07:59:00,282,524,38,247,34,0,1,0,0,,,,,1444,high,7,2
230,photo,2017-07-09 07:26:00,369,14,1,362,7,0,0,0,0,,,,,400,high,7,6
231,photo,2017-07-08 08:41:00,138,16,6,133,4,1,0,0,0,,,,,188,medium,8,5
232,photo,2017-07-05 09:15:00,96,9,1,93,1,2,0,0,0,,,,,117,medium,9,2
233,photo,2017-07-04 05:55:00,186,11,0,184,1,1,0,0,0,,,,,208,medium,5,1
234,photo,2017-07-04 01:30:00,487,15,0,461,14,12,0,0,0,,,,,517,high,1,1
235,video,2017-07-03 23:23:00,282,19,4,257,20,3,2,0,0,,,,,332,high,23,0
236,photo,2017-06-26 04:06:00,383,8,1,367,13,3,0,0,0,,,,,402,high,4,0
237,photo,2017-06-25 11:49:00,216,0,1,211,5,0,0,0,0,,,,,219,medium,11,6
238,photo,2017-06-25 09:47:00,48,0,0,45,2,1,0,0,0,,,,,48,medium,9,6
239,video,2017-06-25 07:42:00,885,462,26,659,220,0,2,0,0,,,,,1887,high,7,6
240,photo,2017-06-25 07:02:00,185,11,1,175,10,0,0,0,0,,,,,210,medium,7,6
241,photo,2017-06-25 04:58:00,259,1,1,251,7,0,1,0,0,,,,,264,high,4,6
242,photo,2017-06-25 02:48:00,299,9,0,291,8,0,0,0,0,,,,,317,high,2,6
243,photo,2017-06-24 23:41:00,199,9,1,186,13,0,0,0,0,,,,,220,medium,23,5
244,photo,2017-06-24 04:34:00,717,40,1,680,30,7,0,0,0,,,,,800,high,4,5
245,photo,2017-06-22 06:34:00,155,2,0,150,5,0,0,0,0,,,,,159,medium,6,3
246,photo,2017-06-21 04:15:00,293,8,0,282,11,0,0,0,0,,,,,309,high,4,2
247,photo,2017-06-18 11:48:00,243,6,0,237,5,1,0,0,0,,,,,255,high,11,6
248,photo,2017-06-13 23:17:00,264,2,0,256,2,5,0,0,0,,,,,268,high,23,1
249,photo,2017-06-13 01:31:00,313,3,0,297,7,6,0,0,0,,,,,319,high,1,1
250,photo,2017-06-12 09:38:00,208,1,0,201,7,0,0,0,0,,,,,210,medium,9,0
251,photo,2017-06-12 09:33:00,216,0,0,209,6,1,0,0,0,,,,,216,medium,9,0
252,photo,2017-06-12 05:08:00,247,6,0,234,9,1,0,0,0,,,,,259,high,5,0
253,photo,2017-06-12 01:38:00,152,1,0,146,5,1,0,0,0,,,,,154,medium,1,0
254,photo,2017-06-11 07:04:00,387,3,0,368,16,1,0,0,0,,,,,393,high,7,6
255,photo,2017-06-10 08:19:00,178,9,0,170,6,0,0,0,0,,,,,196,medium,8,5
256,photo,2017-06-10 06:00:00,218,4,0,212,5,1,0,0,0,,,,,226,medium,6,5
257,photo,2017-06-10 01:08:00,270,3,0,256,10,3,0,0,0,,,,,276,high,1,5
258,photo,2017-06-08 09:26:00,351,4,1,344,6,0,0,0,0,,,,,362,high,9,3
259,photo,2017-06-08 05:29:00,232,0,2,224,8,0,0,0,0,,,,,238,medium,5,3
260,photo,2017-06-08 05:22:00,252,3,0,244,4,4,0,0,0,,,,,258,high,5,3
261,photo,2017-06-08 03:27:00,122,0,0,114,8,0,0,0,0,,,,,122,medium,3,3
262,photo,2017-06-07 07:28:00,209,4,0,199,9,1,0,0,0,,,,,217,medium,7,2
263,photo,2017-06-07 02:36:00,305,5,1,295,10,0,0,0,0,,,,,318,high,2,2
264,photo,2017-06-05 06:43:00,71,10,2,70,1,0,0,0,0,,,,,97,medium,6,0
265,photo,2017-05-30 01:21:00,290,12,0,275,13,1,1,0,0,,,,,314,high,1,1
266,photo,2017-05-21 23:05:00,67,6,3,66,0,1,0,0,0,,,,,88,medium,23,6
267,photo,2017-05-21 05:53:00,783,11,0,752,30,1,0,0,0,,,,,805,high,5,6
268,photo,2017-05-14 03:14:00,77,2,0,76,1,0,0,0,0,,,,,81,medium,3,6
269,video,2017-05-13 03:21:00,22,0,0,22,0,0,0,0,0,,,,,22,low,3,5
270,photo,2017-05-12 04:17:00,103,0,0,100,2,1,0,0,0,,,,,103,medium,4,4
271,video,2017-05-11 03:55:00,32,0,2,32,0,0,0,0,0,,,,,38,medium,3,3
272,photo,2017-05-10 22:46:00,239,5,2,229,8,0,0,2,0,,,,,255,high,22,2
273,photo,2017-05-10 02:48:00,111,6,0,110,1,0,0,0,0,,,,,123,medium,2,2
274,video,2017-05-08 09:57:00,51,0,1,51,0,0,0,0,0,,,,,54,medium,9,0
275,video,2017-05-08 09:42:00,34,4,0,34,0,0,0,0,0,,,,,42,medium,9,0
276,link,2017-05-05 23:27:00,15,0,0,15,0,0,0,0,0,,,,,15,low,23,4
277,video,2017-05-05 05:12:00,75,0,5,75,0,0,0,0,0,,,,,90,medium,5,4
278,photo,2017-05-04 08:07:00,177,2,0,173,2,2,0,0,0,,,,,181,medium,8,3
279,photo,2017-05-04 00:29:00,520,8,0,505,13,2,0,0,0,,,,,536,high,0,3
280,photo,2017-05-02 10:11:00,134,2,0,132,2,0,0,0,0,,,,,138,medium,10,1
281,photo,2017-05-02 08:50:00,228,1,1,220,7,1,0,0,0,,,,,233,medium,8,1
282,video,2017-05-01 00:35:00,498,254,17,408,77,5,6,1,1,,,,,1057,high,0,0
283,photo,2017-04-29 00:40:00,166,5,2,159,7,0,0,0,0,,,,,182,medium,0,5
284,video,2017-04-27 03:14:00,272,265,20,228,44,0,0,0,0,,,,,862,high,3,3
285,photo,2017-04-27 02:23:00,127,7,1,125,2,0,0,0,0,,,,,144,medium,2,3
286,photo,2017-04-26 08:35:00,30,0,0,29,0,1,0,0,0,,,,,30,low,8,2
